School Name,Arbiter live url
Academy of Saint Elizabeth,https://arbiterlive.com/Teams?entityId=100
Boonton High School,https://arbiterlive.com/Teams?entityId=2189
Butler High School,https://arbiterlive.com/Teams?entityId=2819
Chatham High School,https://arbiterlive.com/Teams?entityId=3996
Delbarton High School,https://arbiterlive.com/Teams?entityId=5756
Hackettstown High School,https://arbiterlive.com/Teams?entityId=9254
Hanover Park High School,https://arbiterlive.com/Teams?entityId=9430
High Point High School,https://arbiterlive.com/Teams?entityId=9998
Hopatcong High School,https://arbiterlive.com/Teams?entityId=10426
Jefferson Township High School,https://arbiterlive.com/Teams?entityId=11226
Kinnelon High School,https://arbiterlive.com/Teams?entityId=11869
Kittatinny High School,https://arbiterlive.com/Teams?entityId=11899
Lenape Valley High School,https://arbiterlive.com/Teams?entityId=12657
Madison High School,https://arbiterlive.com/Teams?entityId=13538
Montville High School,https://arbiterlive.com/Teams?entityId=15106
Morris Catholic High School,https://arbiterlive.com/Teams?entityId=15182
Morris County School of Technology,https://arbiterlive.com/Teams?entityId=15185
Morris Hills High School,https://arbiterlive.com/Teams?entityId=15188
Morris Knolls High School,https://arbiterlive.com/Teams?entityId=15189
Morristown-Beard School,https://arbiterlive.com/Teams?entityId=15200
Morristown High School,https://arbiterlive.com/Teams?entityId=15198
Mount Olive High School,https://arbiterlive.com/Teams?entityId=15450
Moutain Lakes High School,https://arbiterlive.com/Teams?entityId=15378
Newton High School,https://arbiterlive.com/Teams?entityId=15980
North Warren High School,https://arbiterlive.com/Teams?entityId=16405
Parsippany High School,https://arbiterlive.com/Teams?entityId=17620
Parsippany Hills High School,https://arbiterlive.com/Teams?entityId=17621
Pequannock High School,https://arbiterlive.com/Teams?entityId=17870
Pope John High School XIII,https://arbiterlive.com/Teams?entityId=18382
Randolph High School,https://arbiterlive.com/Teams?entityId=18856
Roxbury High school,https://arbiterlive.com/Teams?entityId=19753
Sussex County Tech High School,https://arbiterlive.com/Teams?entityId=22806
Sparta High School,https://arbiterlive.com/Teams?entityId=21689
Vernon Township High School,
Villa Walsh Academy,https://arbiterlive.com/Teams?entityId=24456
Wallkill Valley High School,https://arbiterlive.com/Teams?entityId=24648
West Morris Central High School,https://arbiterlive.com/Teams?entityId=25317
West Morris Mendham High School,https://arbiterlive.com/Teams?entityId=14434
Whippany Park High School,https://arbiterlive.com/Teams?entityId=25661
